	(	)	*	+	-	/	;	<	<=	<id>	<num>	=	>	>=	else	if	while	{	}	$	(	)	*	+	-	/	;	<	<=	<id>	<num>	=	>	>=	else	if	while	{	}	A	B	S	S'
145	X	X	r23	r23	r23	r23	r23	X	X	X	X	X	X	X	X	X	X	X	X	r23	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
146	X	X	X	X	X	X	r10	X	X	X	X	X	X	X	r10	X	X	X	X	r10	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
147	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	148	X	
148	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s149	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	149	X	X	X	X	
149	X	X	X	X	X	X	r4	X	X	X	X	X	X	X	s150	X	X	X	X	r4	X	X	X	X	X	X	X	X	X	X	X	X	X	X	150	X	X	X	X	X	X	X	X	
150	X	X	X	X	X	X	X	X	X	s130	X	X	X	X	X	s120	s3	s152	X	X	X	X	X	X	X	X	X	X	X	130	X	X	X	X	X	120	3	152	X	X	X	151	X	
151	X	X	X	X	X	X	s2	X	X	X	X	X	X	X	X	X	X	X	X	r6	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
152	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	153	X	
153	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s154	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	154	X	X	X	X	
154	X	X	X	X	X	X	r8	X	X	X	X	X	X	X	X	X	X	X	X	r8	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
155	s156	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	156	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
156	X	X	X	X	X	X	X	X	X	s117	s116	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	117	116	X	X	X	X	X	X	X	X	157	X	X	X	
157	X	s158	X	X	X	X	X	s112	s114	X	X	X	s110	s108	X	X	X	X	X	X	X	158	X	X	X	X	X	112	114	X	X	X	110	108	X	X	X	X	X	X	X	X	X	
158	X	X	X	X	X	X	X	X	X	s173	X	X	X	X	X	s163	s155	s159	X	X	X	X	X	X	X	X	X	X	X	173	X	X	X	X	X	163	155	159	X	X	X	162	X	
159	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	160	X	
160	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s161	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	161	X	X	X	X	
161	X	X	X	X	X	X	r1	X	X	X	X	X	X	X	r1	X	X	X	X	r1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
162	X	X	X	X	X	X	s146	X	X	X	X	X	X	X	r2	X	X	X	X	r2	X	X	X	X	X	X	146	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
163	s164	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	164	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
164	X	X	X	X	X	X	X	X	X	s117	s116	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	117	116	X	X	X	X	X	X	X	X	165	X	X	X	
165	X	s166	X	X	X	X	X	s112	s114	X	X	X	s110	s108	X	X	X	X	X	X	X	166	X	X	X	X	X	112	114	X	X	X	110	108	X	X	X	X	X	X	X	X	X	
166	X	X	X	X	X	X	X	X	X	s173	X	X	X	X	X	s163	s155	s189	X	X	X	X	X	X	X	X	X	X	X	173	X	X	X	X	X	163	155	189	X	X	X	167	X	
167	X	X	X	X	X	X	s146	X	X	X	X	X	X	X	s168	X	X	X	X	r3	X	X	X	X	X	X	146	X	X	X	X	X	X	X	168	X	X	X	X	X	X	X	X	
168	X	X	X	X	X	X	X	X	X	s173	X	X	X	X	X	s163	s155	s170	X	X	X	X	X	X	X	X	X	X	X	173	X	X	X	X	X	163	155	170	X	X	X	169	X	
169	X	X	X	X	X	X	s146	X	X	X	X	X	X	X	r5	X	X	X	X	r5	X	X	X	X	X	X	146	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
170	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	171	X	
171	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s172	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	172	X	X	X	X	
172	X	X	X	X	X	X	r7	X	X	X	X	X	X	X	r7	X	X	X	X	r7	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
173	X	X	X	X	X	X	X	X	X	X	X	s174	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	174	X	X	X	X	X	X	X	X	X	X	X	
174	s184	X	X	X	X	X	X	X	X	s188	s187	X	X	X	X	X	X	X	X	X	184	X	X	X	X	X	X	X	X	188	187	X	X	X	X	X	X	X	X	X	175	X	X	
175	X	X	s182	s176	s178	s180	r9	X	X	X	X	X	X	X	r9	X	X	X	X	r9	X	X	182	176	178	180	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
176	s184	X	X	X	X	X	X	X	X	s188	s187	X	X	X	X	X	X	X	X	X	184	X	X	X	X	X	X	X	X	188	187	X	X	X	X	X	X	X	X	X	177	X	X	
177	X	X	s182	s176	s178	s180	r17	X	X	X	X	X	X	X	r17	X	X	X	X	r17	X	X	182	176	178	180	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
178	s184	X	X	X	X	X	X	X	X	s188	s187	X	X	X	X	X	X	X	X	X	184	X	X	X	X	X	X	X	X	188	187	X	X	X	X	X	X	X	X	X	179	X	X	
179	X	X	s182	s176	s178	s180	r18	X	X	X	X	X	X	X	r18	X	X	X	X	r18	X	X	182	176	178	180	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
180	s184	X	X	X	X	X	X	X	X	s188	s187	X	X	X	X	X	X	X	X	X	184	X	X	X	X	X	X	X	X	188	187	X	X	X	X	X	X	X	X	X	181	X	X	
181	X	X	s182	s176	s178	s180	r19	X	X	X	X	X	X	X	r19	X	X	X	X	r19	X	X	182	176	178	180	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
182	s184	X	X	X	X	X	X	X	X	s188	s187	X	X	X	X	X	X	X	X	X	184	X	X	X	X	X	X	X	X	188	187	X	X	X	X	X	X	X	X	X	183	X	X	
183	X	X	s182	s176	s178	s180	r20	X	X	X	X	X	X	X	r20	X	X	X	X	r20	X	X	182	176	178	180	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
184	s50	X	X	X	X	X	X	X	X	s54	s53	X	X	X	X	X	X	X	X	X	50	X	X	X	X	X	X	X	X	54	53	X	X	X	X	X	X	X	X	X	185	X	X	
185	X	s186	s48	s42	s44	s46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	186	48	42	44	46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
186	X	X	r21	r21	r21	r21	r21	X	X	X	X	X	X	X	r21	X	X	X	X	r21	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
187	X	X	r22	r22	r22	r22	r22	X	X	X	X	X	X	X	r22	X	X	X	X	r22	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
188	X	X	r23	r23	r23	r23	r23	X	X	X	X	X	X	X	r23	X	X	X	X	r23	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
189	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	190	X	
190	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s191	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	191	X	X	X	X	
191	X	X	X	X	X	X	r4	X	X	X	X	X	X	X	s192	X	X	X	X	r4	X	X	X	X	X	X	X	X	X	X	X	X	X	X	192	X	X	X	X	X	X	X	X	
192	X	X	X	X	X	X	X	X	X	s173	X	X	X	X	X	s163	s155	s194	X	X	X	X	X	X	X	X	X	X	X	173	X	X	X	X	X	163	155	194	X	X	X	193	X	
193	X	X	X	X	X	X	s146	X	X	X	X	X	X	X	r6	X	X	X	X	r6	X	X	X	X	X	X	146	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
194	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	195	X	
195	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s196	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	196	X	X	X	X	
196	X	X	X	X	X	X	r8	X	X	X	X	X	X	X	r8	X	X	X	X	r8	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
